CAIXA,1,228,228,5,9
Fundo XP,1,922,922,6,6
Cripto,1,2420,1649,5,1
IVVB11,5,414,396,5,4
Caixinha Nu,1,3492,3709,5,7
Nu Estategia Protegida,1,3500,3990,5,6
CDB Banco Digimais,1,6000,6757,5,7
Tesouro,1,12207,13295,5,3
Prev Privada Itau,1,32146,41503,4,6
MCCI11,63,88.79,95.9,5,5
RBRR11,62,86.73,90.25,5,5
KNCR11,28,104.27,107.39,5,5
XPCI11,58,82.68,83.7,5,5
PCIP11,41,83.79,84.77,5,5
CPTS11,729,7.5,8.09,5,5
BTLG11,36,102.35,103.7,5,5
LVBI11,29,108.7,111.31,5,5
BRCO11,23,113.97,124,5,5
XPLG11,23,100.78,103.12,5,5
PVBI11,39,75.76,78.46,5,5
XPML11,52,104.93,111.83,5,5
HSML11,0,94.72,94.72,5,5
RBRX11,570,7.03,8.58,5,5
KNSC11,142,8.72,9.19,5,5
PSSA3,155,47.54,52.33,5,8
ITUB4,82,38.74,46.78,5,8
WEGE3,66,45.24,49.7,5,8
VALE3,30,65.08,88.47,5,8
BOVA11,12,151.17,185.16,5,8
B3SA3,89,13.58,17.9,5,8
EGIE3,41,30.58,33.68,5,8
RENT3,25,43.48,50.76,5,8
TOTS3,21,43.63,37.84,5,8
SMAL11,5,109.38,126.38,5,8
SMFT3,28,24.88,20.2,5,8
RDOR3,12,43.85,40.3,5,8
BPAC3,0,44.41,44.41,5,8
KLBN3,0,4.12,4.12,5,8
